Monday, January 23, 2023	Netaji’s Birthday (only in Kolkata)
Thursday, January 26, 2023	Republic Day (Bengaluru, Chennai/Coimbatore, Delhi, Noida, Gurugram, Hyderabad, Mumbai/Pune, Kolkata, Ahmedabad, Jaipur, Indore)
Tuesday, March 7, 2023	Holi (Second Day) / Dulandi (Only in Mumbai/Pune, Jaipur)
Wednesday, March 8, 2023	Holi / Duleti (Only in Delhi, Noida, Gurugram, Ahmedabad, Indore)
Friday, April 7, 2023	Good Friday (Only in Delhi, Jaipur, Indore)
Friday, April 14, 2023	Dr. Baba Saheb Ambedkar’s Birthday (Only in Noida)
Friday, April 14, 2023	Tamil New year (Only in Chennai/Coimbatore)
Monday, May 1, 2023	May Day (Only in Bengaluru, Chennai/Coimbatore, Hyderabad, Mumbai/Pune, Kolkata)
Friday, June 2, 2023	Telangana Formation Day (Only in Hyderabad)
Wednesday, June 28, 2023	Bakri Id (Id-Uz-Zuha) (Only in Mumbai/Pune)
Thursday, June 29, 2023	Bakrid/Id-ul-Zuha/Eidul Azha* (Only in Bengaluru, Chennai/Coimbatore, Delhi, Noida, Gurugram, Hyderabad, Kolkata, Ahmedabad, Jaipur, Indore)
Tuesday, August 15, 2023	Independence Day (Only in Bengaluru, Chennai/Coimbatore, Delhi, Noida, Gurugram, Hyderabad, Mumbai/Pune, Kolkata, Ahmedabad, Jaipur, Indore)
Tuesday, September 19, 2023	Ganesh Chaturthi (Only in Mumbai/Pune)
Monday, October 2, 2023	Mahatma Gandhi Jayanti (Only in Bengaluru, Chennai/Coimbatore, Delhi, Noida, Gurugram, Hyderabad, Mumbai/Pune, Kolkata, Ahmedabad, Jaipur, Indore)
Tuesday, October 24, 2023	Vijaya Dasami/ Dussehra / Dasara / Durga Puja Dasami (Only in Bengaluru, Chennai/Coimbatore, Delhi, Gurugram, Hyderabad, Kolkata, Ahmedabad, Jaipur, Indore)
Wednesday, November 1, 2023	Haryana Day (Only in Gurugram)
Wednesday, November 1, 2023	Kannada Rajyotsava (Only in Bengaluru)
Tuesday, November 14, 2023	Vikram Samvant New Year Day (Only in Ahmedabad)
Monday, November 27, 2023	Kartik Purnima (Only in Noida)
Monday, December 25, 2023	Christmas (Only in Bengaluru, Chennai/Coimbatore, Delhi, Noida, Gurugram, Hyderabad, Mumbai/Pune, Kolkata, Ahmedabad, Jaipur, Indore)
Sunday, January 1, 2023	New Year’s Day (Only in Bengaluru, Chennai/Coimbatore, Delhi, Noida, Gurugram, Hyderabad, Mumbai/Pune, Kolkata, Ahmedabad, Jaipur, Indore)
Saturday, January 14, 2023	Bhogi (Only in Hyderabad)
Sunday, January 15, 2023	Pongal / Makar Sankranti (Only in Chennai/Coimbatore)
Saturday, February 18, 2023	Maha Shivaratri (Only in Hyderabad)
Saturday, April 22, 2023	Ramzan-Id /Id-Ul-Fitr */ Khutub-e-Ramzan* (Only Noida, Hyderabad)
Sunday, October 22, 2023	Durga Puja – Ashtami (Only in Kolkata)
Sunday, November 12, 2023	Deepavali / Diwali / Kali Puja (Only in Noida, Hyderabad)